"사업코드","사업명","준공여부구분","준공여부","계획공정율","실적공정율","대비율","기준일자","총공기","경과일","D-Day","도급액(억원)","사업비(억원)","공사기간","공사위치","위도","경도","발주처 담당자명","책임감리원 명","현장대리인 명","발주처 기관명","감리사 업체명","시공사 업체명","사업규모","웹카메라 RTSP 주소","계약정보 링크주소","집행정보 링크주소","조감도 이미지 링크주소","공사개요 웹페이지","자치구코드","자치구명"
"7022025022699","2025년 서울어린이대공원 녹지관리공사(연간단가)","1","진행    ","39.66","39.66","100","20250621","290","115","175","1.1","1.0973385","2025-02-27~2025-12-13","서울특별시 광진구 능동로 216","37.5499772549675","127.080235171998","노태성","","송현희(공무직)","서울시설공단","","대원건축(주)","-","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info2&pjt_cd=7022025022699","","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info1&pjt_cd=7022025022699","06","광진구"
"7022025030687","서울어린이대공원 노후 물놀이장 리모델링(긴급)","0","준공","100","100","100","20250621","88","88","0","4.67","4.665781","2025-03-10~2025-06-05","서울특별시 광진구 능동로 216","37.55147044344215","127.08378909469191","이정은","","심세영(현장대리인)","서울시설공단","","(주)에이블이앤지","-","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info2&pjt_cd=7022025030687","","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info1&pjt_cd=7022025030687","06","광진구"
"7022025030799","2025 서울어린이대공원 유휴녹지 정원조성사업","0","준공","100","100","100","20250621","68","68","0","1.6","1.6","2025-03-10~2025-05-16","서울시 광진구 능동로 216 서울어린이대공원","37.53452277282999","126.97537130814301","정민수","","이영화(공무직)","서울시설공단","","(주)세명하이텍","-","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info2&pjt_cd=7022025030799","","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info1&pjt_cd=7022025030799","21","용산구"
"7062025052299","서울여성플라자 1층 로비 리셉션 조성 공사","1","진행    ","96.43","96.43","100","20250621","28","27","1","0.47","0.47485","2025-05-26~2025-06-22","서울특별시 동작구 여의대방로54길 18","37.51137233150001","126.92714114344601","이혁수","","","서울특별시여성가족재단","","","-","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info2&pjt_cd=7062025052299","","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info1&pjt_cd=7062025052299","12","동작구"
"7122025032795","청년취업사관학교 서초캠퍼스 조성공사(기계)","0","준공","100","100","100","20250621","55","55","0","0.21","0.21311","2025-03-27~2025-05-20","서울특별시 성동구 자동차시장1길 64","37.56032133339711","127.06451301298299","김주완","","","(재)서울경제진흥원","","","-","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info2&pjt_cd=7122025032795","","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info1&pjt_cd=7122025032795","16","성동구"
"7182024071199","서대문 피해장애인쉼터  시설환경개선 전기공사","0","준공","100","100","100","20250621","243","243","0","0.74","0.7372912","2024-08-01~2025-03-31","서울특별시 서대문구 가재울로4길 35","37.575538794518856","126.92357331856299","심현희","","","서울특별시","","","-","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info2&pjt_cd=7182024071199","","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info1&pjt_cd=7182024071199","14","서대문구"
"7272023112498","서울어린이대공원 공연장 리모델링 전기공사","0","준공","100","100","100","20250621","535","535","0","6.08","6.07529159","2023-12-27~2025-06-13","서울특별시 광진구 능동로 216","37.55147044344215","127.08378909469191","전희선","","구본준(현장대리인)","동부공원여가센터","","주식회사 대일종합공사","-","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info2&pjt_cd=7272023112498","","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info1&pjt_cd=7272023112498","06","광진구"
"7272025052787","2025년 서울숲 노후시설 정비공사","1","진행    ","14.44","14.44","100","20250621","90","13","77","3.22","3.219966","2025-06-09~2025-09-06","서울특별시 성동구 뚝섬로 273","37.54305942888","127.041788004085","최종성","","이혜정(공무직)","동부공원여가센터","","반석에코텍 주식회사","-","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info2&pjt_cd=7272025052787","","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info1&pjt_cd=7272025052787","16","성동구"
"7302024101599","보라매공원 복합문화공간 리모델링 공사(건축+기계)-장기계속공사(1차)","0","준공","100","100","100","20250621","236","236","0","16.84","16.8412037","2024-10-21~2025-06-13","서울 동작구 신대방동 722","37.49328307697023","126.92051756183096","양승환","","전현주(시공자(공무?공사))","서부공원여가센터","","주식회사 스테이하이","-","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info2&pjt_cd=7302024101599","","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info1&pjt_cd=7302024101599","12","동작구"
"7302024121299","문화비축기지 주차장 확대공사","0","준공","100","100","100","20250621","180","180","0","4.13","4.13218","2024-12-18~2025-06-15","서울특별시 마포구 증산로 87","37.57107560511949","126.89423666008835","안동주","","이상은(공무직)","서부공원여가센터","","고양종합건설 주식회사","-","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info2&pjt_cd=7302024121299","","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info1&pjt_cd=7302024121299","13","마포구"
"7302025040394","보라매공원 시설 재정비 공사","0","준공","100","100","100","20250621","48","48","0","0.5","0.495","2025-04-03~2025-05-20","서울 동작구 신대방동 722","37.49328307697023","126.92051756183096","최유민","","","서부공원여가센터","","","-","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info2&pjt_cd=7302025040394","","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info1&pjt_cd=7302025040394","12","동작구"
"7552023022186","7호선 가산디지털단지역 4번 출입구 확장 승강편의시설 설치 전기공사(53공구)","1","진행    ","94","94","100","20250621","900","846","54","1.28","1.28256821","2023-02-27~2025-08-14","서울 금천구 가산동 371-28","37.48039596609821","126.882661758356","박도영","","김경민(시공자(공무?공사))","서울교통공사","","주식회사 임피던스","-","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info2&pjt_cd=7552023022186","","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info1&pjt_cd=7552023022186","08","금천구"
"7552024121999","도봉산역 2번 외부출입구 경사로 설치공사","0","준공","100","100","100","20250621","127","127","0","1.54","1.5425","2024-12-26~2025-05-01","서울 도봉구 도봉동 17-5","37.68963046500318","127.046425596353","이길수","","이진희(공무직)","서울교통공사","","(주)명지이엔씨","-","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info2&pjt_cd=7552024121999","","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info1&pjt_cd=7552024121999","10","도봉구"
"7552024123090","2호선 신도림 고객안전실 등 2개역 근무환경 개선 기계공사","0","준공","100","100","100","20250621","163","163","0","0.82","0.8199491","2024-12-31~2025-06-11","서울특별시 구로구 경인로 688","37.508908482648","126.89131250085099","정종화","","","서울교통공사","","","-","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info2&pjt_cd=7552024123090","","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info1&pjt_cd=7552024123090","07","구로구"
"7552025040996","2025년 지하철 5~8호선 지하구조물 개량공사","1","진행    ","22.67","22.67","100","20250621","300","68","232","6.84","6.841679","2025-04-15~2026-02-08","서울특별시 성동구 천호대로 346","37.562637938100785","127.05724745183834","김형균","","박병선(현장대리인)","서울교통공사","","에이치에스이엔지 주식회사","-","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info2&pjt_cd=7552025040996","","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info1&pjt_cd=7552025040996","16","성동구"
"7552025041599","2025년 노후 AFC분전함 개선 및 전자설비 이설공사","1","진행    ","81.25","81.25","100","20250621","80","65","15","1.25","1.2493079","2025-04-18~2025-07-06","서울특별시 성동구 천호대로 346","37.562637938100785","127.05724745183834","채영수","","전우재(공무직)","서울교통공사","","진우에이티에스 주식회사","-","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info2&pjt_cd=7552025041599","","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info1&pjt_cd=7552025041599","16","성동구"
"7552025043090","행당역 외 1역 외부출입구 캐노피 설치공사","1","진행    ","54.12","54.12","100","20250621","85","46","39","5.03","5.026199","2025-05-07~2025-07-30","서울 성동구 행당동 322-624","37.55736378187319","127.02951184051301","박윤성","","이운철(현장대리인)","서울교통공사","","주식회사 레드","-","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info2&pjt_cd=7552025043090","","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info1&pjt_cd=7552025043090","16","성동구"
"7552025050794","논현역 외 1역 외부출입구 캐노피 설치공사","1","진행    ","48.24","48.24","100","20250621","85","41","44","5.29","5.2910965","2025-05-12~2025-08-04","서울특별시 강남구 학동로 지하 102","37.51120000205268","127.02165424259898","나기혁","","이유진(공무직)","서울교통공사","","주식회사 아텍글라스","-","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info2&pjt_cd=7552025050794","","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info1&pjt_cd=7552025050794","01","강남구"
"7552025052286","2호선 건대입구역 등 6역 승강장 CCTV 개량 정보통신공사","1","진행    ","20.83","20.83","100","20250621","120","25","95","4.56","4.559815","2025-05-28~2025-09-24","서울특별시 광진구 아차산로 243","37.54040751726386","127.06920291650829","임제빈","","","서울교통공사","","","-","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info2&pjt_cd=7552025052286","","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info1&pjt_cd=7552025052286","06","광진구"
"7562024101587","장위재정비촉진지구 중랑천 횡단 열수송관 설치공사","1","진행    ","96.5","96.5","100","20250621","257","248","9","33.25","33.2495559","2024-10-17~2025-06-30","서울 노원구 월계동 195-9","37.624843437422506","127.06880534881046","이예영","","김상수(현장대리인)","서울에너지공사","","주식회사 일원산업","-","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info2&pjt_cd=7562024101587","","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info1&pjt_cd=7562024101587","09","노원구"
