location_name,target_lat,target_lng,analysis_radius_km,nearby_construction_count,weighted_construction_risk,nearby_sinkhole_count,weighted_sinkhole_risk,avg_daily_visitors,total_daily_visitors,nearby_subway_stations,avg_subway_passengers,avg_rainfall,weighted_rainfall_risk,rainfall_amplification_factor,ongoing_construction_count,recent_sinkhole_count,population_density_score,total_subway_passengers,subway_congestion_risk,physical_risk_score,social_risk_score,final_risk_score,comprehensive_risk_level,comprehensive_risk_category,construction_rainfall_interaction,population_physical_interaction,subway_population_ratio,risk_density,activity_density,distance_from_center,total_infrastructure_risk,total_mobility_volume
아차산역,37.5522,127.0896,0.2,0,0.0,5,0.8319107326665104,0.0,0,2463,27951.876979293545,0.0,0.0,1.0,0,0,0.0,68845473,0.5590375395858709,7.487196593998593,6.708450475030451,7.214635452359744,매우낮음,최저위험,0.0,0.0,68845473.0,57.41224474245428,547854866.8724809,0.11251244375624492,5,68845473
아현역,37.5574,126.9561,0.2,0,0.0,3,0.37695879145079014,0.0,0,2463,19445.031668696713,0.0,0.0,1.0,0,0,0.0,47893113,0.38890063337393427,3.392629123057111,4.666807600487211,3.838591590157646,매우낮음,최저위험,0.0,0.0,47893113.0,30.546541304228406,381121283.70043564,0.023715395843194636,3,47893113
안국역,37.5765,126.9854,0.2,0,0.0,10,0.8430030987084673,0.0,0,2463,46962.68777913114,0.0,0.0,1.0,0,0,0.0,115669100,0.9392537555826228,7.5870278883762055,11.271045066991475,8.87643390089155,매우낮음,최저위험,0.0,0.0,115669100.0,70.63641661776826,920465451.3995374,0.012440257232073723,10,115669100
안암역,37.5863,127.0292,0.2,2,1.0,3,0.5873868850911137,0.0,0,2463,23376.7503045067,0.0,0.0,1.0,0,0,0.0,57576936,0.467535006090134,17.286481965820023,5.610420073081608,13.199860303361577,낮음,하위험,0.0,0.0,57576936.0,105.041150770124,458182698.624285,0.05489517282968531,5,57576936
암사역,37.5502,127.1275,0.2,0,0.0,3,1.0,0.0,0,2463,32395.416159155502,0.0,0.0,1.0,0,0,0.0,79789910,0.6479083231831101,9.0,7.774899878197321,8.571214957369063,매우낮음,최저위험,0.0,0.0,79789910.0,68.20756143842377,634947929.2678725,0.15038597009030139,3,79789910
암사역사공원역,37.5572,127.1376,0.2,0,0.0,2,1.0,0.0,0,295,10713.13220338983,0.0,0.0,1.0,0,0,0.0,3160374,0.2142626440677966,9.0,2.5711517288135597,6.749903105084746,매우낮음,최저위험,0.0,0.0,3160374.0,53.714022228278516,25149457.20595528,0.159870729028186,2,3160374
압구정로데오역,37.5275,127.0406,0.2,0,0.0,5,0.49956518112036613,0.0,0,2463,36017.7969955339,0.0,0.0,1.0,0,0,0.0,88711834,0.720355939910678,4.496086630083295,8.644271278928137,5.94795125717899,매우낮음,최저위험,0.0,0.0,88711834.0,47.33229219248447,705946344.5923833,0.0737547286619643,5,88711834
압구정역,37.5265,127.0285,0.2,0,0.0,16,0.544445041213083,0.0,0,2463,62018.19204222493,0.0,0.0,1.0,0,0,0.0,152750807,1.2403638408444986,4.900005370917747,14.884366090133984,8.394531622643429,매우낮음,최저위험,0.0,0.0,152750807.0,66.80156013424653,1215552299.7663043,0.06442243398071736,16,152750807
애오개역,37.5534,126.9567,0.2,0,0.0,5,0.4385261329728161,0.0,0,2463,12603.468128298822,0.0,0.0,1.0,0,0,0.0,31042342,0.25206936256597645,3.946735196755345,3.0248323507917174,3.6240692006680755,매우낮음,최저위험,0.0,0.0,31042342.0,28.839426369670907,247027108.72245762,0.02500599928016684,5,31042342
약수역,37.5545,127.0109,0.2,0,0.0,0,0.0,0.0,0,2463,31483.7389362566,0.0,0.0,1.0,0,0,0.0,77544449,0.629674778725132,0.0,7.556097344701585,2.6446340706455542,매우낮음,최저위험,0.0,0.0,77544449.0,21.045329250624032,617079118.384369,0.03502013706427789,0,77544449
양재역,37.4846,127.0342,0.2,1,1.0,45,0.5416194419056303,0.0,0,2463,72373.58302882663,3.75263765883712,0.040315748941085874,1.0,0,0,0.0,178256135,1.4474716605765325,17.237416717620444,17.36965992691839,17.283701840874727,낮음,하위험,0.040315748941085874,0.0,178256135.0,137.5393291450852,1418517251.0853105,0.09932799202641736,46,178256135
양천구청역,37.5124,126.8657,0.2,0,0.0,0,0.0,0.0,0,2463,13077.2383272432,0.0,0.0,1.0,0,0,0.0,32209238,0.26154476654486397,0.0,3.138537198538368,1.0984880194884286,매우낮음,최저위험,0.0,0.0,32209238.0,8.741489911440482,256312972.04616562,0.1246519153482917,0,32209238
양천향교역,37.5681,126.842,0.2,0,0.0,2,0.6091242663691057,0.0,0,2463,17289.25903369874,0.0,0.0,1.0,0,0,0.0,42583445,0.34578518067397485,5.48211839732195,4.149422168087698,5.015674717089962,매우낮음,최저위험,0.0,0.0,42583445.0,39.913471208295555,338868288.2815927,0.13600941143905754,2,42583445
양평역,37.5256,126.8864,0.2,0,0.0,21,0.5465768623694828,0.0,0,2463,19278.627283800244,0.0,0.0,1.0,0,0,0.0,47483259,0.3855725456760049,4.919191761325345,4.626870548112059,4.816879336700695,매우낮음,최저위험,0.0,0.0,47483259.0,38.33150783565628,377859769.1981363,0.10031634961460664,21,47483259
어린이대공원역,37.548,127.0747,0.2,0,0.0,7,0.588741762052704,0.0,0,2463,28509.1904181892,0.0,0.0,1.0,0,0,0.0,70218136,0.570183808363784,5.298675858474336,6.842205700365408,5.838911303136211,매우낮음,최저위험,0.0,0.0,70218136.0,46.4645798084634,558778171.9549483,0.09845374548488392,7,70218136
