날짜,위도,경도,자치구,방문자수
20230117,37.5091,127.0489,강남구,119494
20230117,37.5612,127.1321,강동구,102908
20230117,37.6589,127.009,강북구,90530
20230117,37.5694,126.835,강서구,57517
20230117,37.4445,126.9639,관악구,31674
20230117,37.5515,127.0838,광진구,80779
20230117,37.484,126.8254,구로구,132795
20230117,37.4513,126.9246,금천구,104425
20230117,37.6789,127.0607,노원구,53323
20230117,37.6988,127.0155,도봉구,119198
20230117,37.5105,126.9627,동작구,124159
20230117,37.5554,126.9236,마포구,109125
20230117,37.6076,126.947,서대문구,6358
20230117,37.55,127.0802,서울대공원,5940
20230117,37.4764,127.008,서초구,60449
20230117,37.5483,127.0298,성동구,2548
20230117,37.5111,127.0981,송파구,26084
20230117,37.528,126.8619,양천구,107585
20230117,37.5513,126.9882,용산구,552
20230117,37.6525,126.9479,은평구,4908
20230117,37.5776,126.9769,종로구,4414
20230117,37.5656,126.9749,중구,56773
20230117,37.5898,127.0708,중랑구,46222
20230118,37.5091,127.0489,강남구,126621
20230118,37.5612,127.1321,강동구,107456
20230118,37.6589,127.009,강북구,95715
20230118,37.5694,126.835,강서구,58487
20230118,37.4445,126.9639,관악구,32539
20230118,37.5515,127.0838,광진구,84160
20230118,37.484,126.8254,구로구,138168
20230118,37.4513,126.9246,금천구,107200
20230118,37.6789,127.0607,노원구,55884
20230118,37.6988,127.0155,도봉구,124366
20230118,37.5105,126.9627,동작구,137858
20230118,37.5554,126.9236,마포구,113158
20230118,37.6076,126.947,서대문구,6679
20230118,37.55,127.0802,서울대공원,6243
20230118,37.4764,127.008,서초구,55267
20230118,37.5483,127.0298,성동구,2707
20230118,37.5111,127.0981,송파구,27087
20230118,37.528,126.8619,양천구,111855
20230118,37.5513,126.9882,용산구,580
20230118,37.6525,126.9479,은평구,4835
20230118,37.5776,126.9769,종로구,4786
20230118,37.5656,126.9749,중구,57995
20230118,37.5898,127.0708,중랑구,48630
20230119,37.5091,127.0489,강남구,125453
20230119,37.5612,127.1321,강동구,107435
20230119,37.6589,127.009,강북구,99354
20230119,37.5694,126.835,강서구,57939
20230119,37.4445,126.9639,관악구,32071
20230119,37.5515,127.0838,광진구,85717
20230119,37.484,126.8254,구로구,138582
20230119,37.4513,126.9246,금천구,106849
20230119,37.6789,127.0607,노원구,55942
20230119,37.6988,127.0155,도봉구,122766
20230119,37.5105,126.9627,동작구,147385
20230119,37.5554,126.9236,마포구,109944
20230119,37.6076,126.947,서대문구,7176
20230119,37.55,127.0802,서울대공원,6022
20230119,37.4764,127.008,서초구,42006
20230119,37.5483,127.0298,성동구,2488
20230119,37.5111,127.0981,송파구,26723
20230119,37.528,126.8619,양천구,113754
20230119,37.5513,126.9882,용산구,524
20230119,37.6525,126.9479,은평구,4994
20230119,37.5776,126.9769,종로구,8424
20230119,37.5656,126.9749,중구,53081
20230119,37.5898,127.0708,중랑구,48314
20230120,37.5091,127.0489,강남구,126726
20230120,37.5612,127.1321,강동구,113343
20230120,37.6589,127.009,강북구,101224
20230120,37.5694,126.835,강서구,58121
20230120,37.4445,126.9639,관악구,33325
20230120,37.5515,127.0838,광진구,91772
